year,region,week,production_tons
1984,Maryland,6,91679
1984,Missouri,6,132419
1984,Montana,6,584677
1984,New_Mexico,6,427175
1984,North_Dakota,6,406561
1984,Ohio,6,805045
1984,Oklahoma,6,71162
1984,Penn-Anthracite,6,61582
1984,Penn-Bituminous,6,1445555
1984,Penn-Total,6,1507137
1984,Tennessee,6,130575
1984,Texas,6,816483
1984,US Total,6,17385315
1984,Utah,6,287487
1984,Virginia,6,756321
1984,Washington,6,79509
1984,West of Mississippi,6,5972521
1984,West_Virginia,6,2794953
1984,Western,6,4917715
1984,Wyoming,6,2470335
1984,Alabama,7,556424
1984,Alaska,7,20059
1984,Appalachia,7,8928930
1984,Arizona,7,275146
1984,Arkansas,7,1466
1984,Colorado,7,358697
1984,East of Mississippi,7,11896296
1984,Georgia,7,4064
1984,Illinois,7,1352130
1984,Indiana,7,764547
1984,Interior,7,4056291
1984,Iowa,7,9535
1984,Kansas,7,25225
1984,Kentucky-East,7,2202355
1984,Kentucky-Total,7,3053044
1984,Kentucky-West,7,850689
1984,Maryland,7,88365
1984,Missouri,7,133645
1984,Montana,7,668343
1984,New_Mexico,7,376192
1984,North_Dakota,7,429536
1984,Ohio,7,847580
1984,Oklahoma,7,74974
1984,Penn-Anthracite,7,63706
1984,Penn-Bituminous,7,1446687
1984,Penn-Total,7,1510393
1984,Tennessee,7,148735
1984,Texas,7,844080
1984,US Total,7,17978470
1984,Utah,7,266715
1984,Virginia,7,780117
1984,Washington,7,82189
1984,West of Mississippi,7,6082174
1984,West_Virginia,7,2790897
1984,Western,7,4993249
1984,Wyoming,7,2516372
1984,Alabama,8,563674
1984,Alaska,8,20059
1984,Appalachia,8,9133669
1984,Arizona,8,112217
1984,Arkansas,8,1832
1984,Colorado,8,423820
1984,East of Mississippi,8,12184971
1984,Georgia,8,4064
1984,Illinois,8,1419993
1984,Indiana,8,788915
1984,Interior,8,4141081
1984,Iowa,8,10489
1984,Kansas,8,25225
1984,Kentucky-East,8,2247774
1984,Kentucky-Total,8,3090168
1984,Kentucky-West,8,842394
1984,Maryland,8,90574
1984,Missouri,8,128741
1984,Montana,8,649642
1984,New_Mexico,8,407863
1984,North_Dakota,8,420546
1984,Ohio,8,815419
1984,Oklahoma,8,73703
1984,Penn-Anthracite,8,64414
1984,Penn-Bituminous,8,1525927
1984,Penn-Total,8,1590341
1984,Tennessee,8,149600
1984,Texas,8,849789
1984,US Total,8,18091002
1984,Utah,8,271700
1984,Virginia,8,769771
1984,Washington,8,82189
1984,West of Mississippi,8,5906031
1984,West_Virginia,8,2902452
1984,Western,8,4816252
1984,Wyoming,8,2428216
1984,Alabama,9,474864
1984,Alaska,9,19187
1984,Appalachia,9,8211710
1984,Arizona,9,
1984,Arkansas,9,1466
1984,Colorado,9,363866
1984,East of Mississippi,9,10885882
1984,Georgia,9,4064
1984,Illinois,9,1172189
1984,Indiana,9,715811
1984,Interior,9,3715035
1984,Iowa,9,9535
1984,Kansas,9,26708
1984,Kentucky-East,9,2039038
1984,Kentucky-Total,9,2825210
1984,Kentucky-West,9,786172
1984,Maryland,9,72775
1984,Missouri,9,126288
1984,Montana,9,697873
1984,New_Mexico,9,421768
1984,North_Dakota,9,447516
1984,Ohio,9,772884
1984,Oklahoma,9,75609
1984,Penn-Anthracite,9,61162
1984,Penn-Bituminous,9,1533343
1984,Penn-Total,9,1594505
1984,Tennessee,9,123658
1984,Texas,9,801257
1984,US Total,9,16905524
1984,Utah,9,281670
1984,Virginia,9,730455
1984,Washington,9,77723
1984,West of Mississippi,9,6019642
1984,West_Virginia,9,2399467
1984,Western,9,4978779
1984,Wyoming,9,2669176
1984,Alabama,10,520756
1984,Alaska,10,20333
1984,Appalachia,10,9204674
1984,Arizona,10,
1984,Arkansas,10,1562
1984,Colorado,10,374349
1984,East of Mississippi,10,12183591
1984,Georgia,10,4064
1984,Illinois,10,1354644
1984,Indiana,10,752739
1984,Interior,10,4083599
1984,Iowa,10,10074
1984,Kansas,10,25854
1984,Kentucky-East,10,2258839
1984,Kentucky-Total,10,3130373
1984,Kentucky-West,10,871534
1984,Maryland,10,88301
1984,Missouri,10,140688
1984,Montana,10,676727
1984,New_Mexico,10,338009
1984,North_Dakota,10,437970
1984,Ohio,10,843103
1984,Oklahoma,10,75784
1984,Penn-Anthracite,10,65079
1984,Penn-Bituminous,10,1697949
1984,Penn-Total,10,1763028
1984,Tennessee,10,137229
1984,Texas,10,850720
1984,US Total,10,18067818
1984,Utah,10,281650
1984,Virginia,10,815478
1984,Washington,10,82663
1984,West of Mississippi,10,5884227
1984,West_Virginia,10,2773876
1984,Western,10,4779545
1984,Wyoming,10,2567844
1984,Alabama,11,512019
1984,Alaska,11,20931
1984,Appalachia,11,9582265
1984,Arizona,11,
1984,Arkansas,11,1466
1984,Colorado,11,354562
1984,East of Mississippi,11,12622707
1984,Georgia,11,4064
1984,Illinois,11,1398400
1984,Indiana,11,755409
1984,Interior,11,4182654
1984,Iowa,11,10489
1984,Kansas,11,25225
1984,Kentucky-East,11,2297059
1984,Kentucky-Total,11,3183692
1984,Kentucky-West,11,886633
1984,Maryland,11,92426
1984,Missouri,11,152037
1984,Montana,11,669328
1984,New_Mexico,11,404001
1984,North_Dakota,11,434531
1984,Ohio,11,883890
1984,Oklahoma,11,75609
1984,Penn-Anthracite,11,67238
1984,Penn-Bituminous,11,1827802
1984,Penn-Total,11,1895040
1984,Tennessee,11,134899
1984,Texas,11,877386
1984,US Total,11,18650685
1984,Utah,11,281671
1984,Virginia,11,870131
1984,Washington,11,84869
1984,West of Mississippi,11,6027978
1984,West_Virginia,11,2892737
1984,Western,11,4885766
1984,Wyoming,11,2635873
1984,Alabama,12,498425
1984,Alaska,12,18314
1984,Appalachia,12,9774858
1984,Arizona,12,188826
1984,Arkansas,12,1466
1984,Colorado,12,361798
1984,East of Mississippi,12,12529176
1984,Georgia,12,4064
1984,Illinois,12,1272956
1984,Indiana,12,732056
1984,Interior,12,3836212
1984,Iowa,12,9535
1984,Kansas,12,25225
1984,Kentucky-East,12,2414956
1984,Kentucky-Total,12,3164262
1984,Kentucky-West,12,749306
1984,Maryland,12,113332
1984,Missouri,12,134871
1984,Montana,12,609285
1984,New_Mexico,12,353791
1984,North_Dakota,12,393575
1984,Ohio,12,912938
1984,Oklahoma,12,68620
1984,Penn-Anthracite,12,65092
1984,Penn-Bituminous,12,1874889
1984,Penn-Total,12,1939981
1984,Tennessee,12,129711
1984,Texas,12,842177
1984,US Total,12,18315234
1984,Utah,12,284994
1984,Virginia,12,800810
1984,Washington,12,83976
1984,West of Mississippi,12,5786058
